nivel,tipo,custo,relatorio,status,inicio,fim,idPagamento,idCliente,idAgencia,idDespesa
Regional,Investigação,Relatóriocompleto:...,1,2024-02-01,2024-02-28,1,1,1,1
Local,Monitorização,Relatórioparcial:...,0,2024-03-01,,2,2,2,2
Local,Investigação,Relatórioconsultoria:...,1,2024-04-01,2024-04-15,3,3,2,3
Nacional,Investigação,Relatóriofinal:...,1,2024-05-01,2024-05-30,4,4,1,4
Local,Menores,Relatórioinicial:...,0,2024-06-01,,5,5,2,5
Internacional,Infidelidade,Relatóriodetalhado:...,1,2024-07-01,2024-07-31,6,6,1,6
Local,Investigação,Relatóriodeprogresso:...,1,2024-08-01,2024-08-20,7,4,1,7
Local,Monitorização,Relatóriosumário:...,0,2024-09-01,,8,2,1,8
Nacional,Menores,Relatóriofinal:...,1,2024-10-01,2024-10-25,9,5,2,9
Governamental,Infidelidade,Relatóriopreliminar:...,1,2024-11-01,2024-11-30,10,3,2,10
Local,Monitorização,Relatóriointerino:...,1,2024-12-01,2024-12-05,11,4,1,11
Local,Infidelidade,Relatóriodeconclusão:...,1,2024-12-15,2024-12-31,12,1,1,12
